,date,title,url,views,views_expand
95,5 months ago,KYAGULANYI SENTAMU ATADDE COURT KU MINZANI NTI ABALAMUZI BONA TABESIGA BAKORELA MUSEVENI,https://www.youtube.com//watch?v=CKgCL8f1k28,9.7K views,9700.0
96,5 months ago,CHARLES PETER MAYIGA WAS GIVEN 38 BILLION SHILLINGS TO COMPROMISE ALL ELECTED NUP LEADERS IN BUGANDA,https://www.youtube.com//watch?v=M8oOaNwCX9Q,8.4K views,8400.0
97,5 months ago,BWIINO WA WOKUWAMBA BANAUGANDA YAVVA DA NYO   NGA MUSEVENI YE MASTER PLANNER,https://www.youtube.com//watch?v=8j1q5WHKo9k,7.8K views,7800.0
98,5 months ago,MUSEVENI BYASIBA BIKUTUKA ANTI UN NE EU BAMWEGANYE BO BAMANYI KYAGULANYI SENTAMU NGA PRESIDENT WA UG,https://www.youtube.com//watch?v=b0UfeF_ttVI,13K views,13000.0
99,5 months ago,EC BOSS SIMON BYABAKAMA IS PLANING TO RUN OUT THE COUNTRY ON ORDERS OF MUSEVENI.,https://www.youtube.com//watch?v=8Tu3hTEM8GQ,10K views,10000.0
100,5 months ago,BREAKING NEWS: MIRAMBO EJASURIDWA EMPIGI JONA JAKUNGANYIZIDWA OKUVA MU SAFE HOUSE'S EZENJAWURO,https://www.youtube.com//watch?v=ksuBrisOhx4,8K views,8000.0
101,6 months ago,MENGO GOVERNMENT IS QUITE AS MUSEVENI KEEPS ON KIDNAPPING YOUTH FROM BUGANDA REGION,https://www.youtube.com//watch?v=R06ZUvb5bJ0,6.6K views,6600.0
102,6 months ago,BWIINO WA DRONES EZIWAMBA ABAWAGIZI BA NUP OKWETOLORA EGWANGA AMANYA GABWE NE BIFANANYI BYEBWE,https://www.youtube.com//watch?v=x84jVs0jiJU,8.7K views,8700.0
103,6 months ago,SEAT HOME DEMONSTRATION IS ONLY ANSWERS TO END MUSEVENI'S REGIME,https://www.youtube.com//watch?v=_t90tcUZNSk,6.8K views,6800.0
104,6 months ago,MUSEVENI BUSY USING PROPAGANDA AND DIVERSIONS TO CAVE UP DRONE VANS AND KIDNAPPING YOUTH COUNTRYWIDE,https://www.youtube.com//watch?v=b6BSBxOL_Ds,7K views,7000.0
105,6 months ago,MUSEVENI IS NEXT IN ICC COURT AFTER DOMINIC OGWENE DUE TO THE HUMAN RIGHTS ABUSE,https://www.youtube.com//watch?v=KLw-HUFFQ9c,9.3K views,9300.0
106,6 months ago,ITS MUSEVENI  WHO INFLUENCED LATE MILITON TO ATTACK SIR EDWARD MUTESA AND MENGO PLACE 1966,https://www.youtube.com//watch?v=yHH0C_lInsk,7K views,7000.0
107,6 months ago,Ssabalamuzi Wa uganda Akutudde MUSEVENI Omutima,https://www.youtube.com//watch?v=dy0EKD2eHQg,11K views,11000.0
108,6 months ago,BOBI WINE ALINA  DR- FORMS OBUJJULIZI BWA 30000 MUSEVENI ALIMUKUTYA,https://www.youtube.com//watch?v=Y_q2tb3k2iM,25K views,25000.0
109,6 months ago,"I AM THE COURT OF LAW IN UGANDA, I AM THE PRESIDENT, I OWN THIS COUNTRY UGANDA SAYS MUSEVENI",https://www.youtube.com//watch?v=prC5WcJ7dno,11K views,11000.0
110,6 months ago,PASTOR BUGINGO WAS GIVEN 6 BILLIONS SHILLINGS TO CAMPAIGN KYAGULANYI SENTAMU ROBERT BUT HE FAILED,https://www.youtube.com//watch?v=vnvUIAJczfg,11K views,11000.0
111,6 months ago,TIME FOR ACTION BECAUSE MUSEVENI HAS BLOCKED ALL DEMOCRATIC WAYS OF CHANGING LEADERSHIP IN UGANDA.,https://www.youtube.com//watch?v=IMrO95oQeIc,11K views,11000.0
112,6 months ago,GWEBAWADE SENTE OKWOKYA EC STORES NE HEAD OFFICE ZA EC YADUSE NE SENTE OBUKEDDE 400,https://www.youtube.com//watch?v=Z5izhgJjXlU,11K views,11000.0
113,6 months ago,MUSEVENI ALI MUKUTYA UN NE AMERICA BAMUGAMBYE AWEYO OBUYINZA ERI BOBI WINE OBA TEYEJJUSA EKIDAKO,https://www.youtube.com//watch?v=1OPjEjzZLbQ,13K views,13000.0
